edge_id,from_node_id,to_node_id,from_label,to_label,from_type,to_type,edge_label_raw,role_canonical,tie_class,layer,is_former,is_self_loop,source_line,evidence
SEEDE_7b776504a1aa2799,PERSON_GHEDAMSI_ALI,CO_GHEDAMSI_DUTY_FREE,ALI GHEDAMSI,GHEDAMSI DUTY FREE,PERSON,COMPANY,FORMER MANAGER,gerant,corporate_officer,corporate,True,False,9757,seed_only
SEEDE_08b25e4304d389e1,PERSON_GHEDAMSI_FERIEL,CO_GHEDAMSI_DUTY_FREE,FERIEL GHEDAMSI,GHEDAMSI DUTY FREE,PERSON,COMPANY,MANAGER,gerant,corporate_officer,corporate,False,False,9758,seed_only
SEEDE_893139480ea10748,PERSON_GHEDAMSI_HOUDA,CO_GHEDAMSI_DUTY_FREE,HOUDA GHEDAMSI,GHEDAMSI DUTY FREE,PERSON,COMPANY,MANAGER,gerant,corporate_officer,corporate,False,False,9759,seed_only
SEEDE_5c9693ad7a19fcbc,PERSON_BELKAHIA_KAMEL,CO_GHEZALA_FRUITS,KAMEL BELKAHIA,GHEZALA FRUITS,PERSON,COMPANY,BOARD MEMBER,administrateur,corporate_officer,corporate,False,False,9760,seed_only
SEEDE_04083c4cb6c1aa1d,PERSON_BELKAHIA_NABIL,CO_GHEZALA_FRUITS,NABIL BELKAHIA,GHEZALA FRUITS,PERSON,COMPANY,CEO,ceo,corporate_officer,corporate,False,False,9761,seed_only
SEEDE_0522c520310f6a6f,CO_PARTICIPATIONS_PROMOTION_INVESTISSEMENTS_SPPI,CO_GHEZALA_FRUITS,SOCIETE DE PARTICIPATIONS ET DE PROMOTION DES INVESTISSEMENTS SPPI,GHEZALA FRUITS,COMPANY,COMPANY,SHAREHOLDER,shareholder,ownership,corporate,False,False,9762,seed_only
SEEDE_d9de36d94f8265e5,PERSON_HAMROUNI_CHAIBI,CO_GHOFRAN_METAUX,CHAIBI HAMROUNI,GHOFRAN METAUX,PERSON,COMPANY,MANAGER,gerant,corporate_officer,corporate,False,False,9763,seed_only
SEEDE_18df2955019cf5cb,PERSON_MABROUK_KHALIL,CO_GIANPIER_KHALIL_EL_BARAKA,KHALIL MABROUK,GIANPIER KHALIL EL-BARAKA,PERSON,COMPANY,MANAGER,gerant,corporate_officer,corporate,False,False,9764,seed_only
SEEDE_d487f7a30afe4113,PERSON_SLAMA_GHASEN,CO_GIAS_DISTRIBUTION,GHASSEN SLAMA,GIAS DISTRIBUTION,PERSON,COMPANY,MANAGER,gerant,corporate_officer,corporate,False,False,9765,seed_only
SEEDE_ed84b68385882838,CO_HORIZON_MANAGEMENT_SERVICES,CO_GIAS_DISTRIBUTION,HORIZON MANAGEMENT SERVICES,GIAS DISTRIBUTION,COMPANY,COMPANY,SHAREHOLDER,shareholder,ownership,corporate,False,False,9766,seed_only
SEEDE_b601986007df415b,PERSON_MARAKCHI_AHSEN,CO_GIAS_INDUSTRIES,AHSEN MARRAKCHI,GIAS INDUSTRIES,PERSON,COMPANY,MANAGER,gerant,corporate_officer,corporate,False,False,9767,seed_only
SEEDE_f519ef1a9996f623,PERSON_SLAMA_GHASEN,CO_GIAS_INDUSTRIES,GHASSEN SLAMA,GIAS INDUSTRIES,PERSON,COMPANY,MANAGER,gerant,corporate_officer,corporate,False,False,9768,seed_only
SEEDE_fe74370d6425d025,PERSON_SLAMA_GHASEN,CO_GIAS_INDUSTRIES,GHASSEN SLAMA,GIAS INDUSTRIES,PERSON,COMPANY,SHAREHOLDER,shareholder,ownership,corporate,False,False,9769,seed_only
SEEDE_357816f4cd611ca1,CO_HORIZON_MANAGEMENT_SERVICES,CO_GIAS_INDUSTRIES,HORIZON MANAGEMENT SERVICES,GIAS INDUSTRIES,COMPANY,COMPANY,SHAREHOLDER,shareholder,ownership,corporate,False,False,9770,seed_only
