panel_id,granularity,period_start,period_end,from_node_id,to_node_id,role_canonical,layer,certainty,evidence_tier,spell_id
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_HACHICHA_FATHI,CO_INDUSTRIES_ALIMENTAIRES_RANDA,administrateur,corporate,probable,gazette_dated,SP_cb5b9be991695f51710a
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_HACHICHA_SOUHEIL,CO_INDUSTRIES_ALIMENTAIRES_RANDA,administrateur,corporate,probable,gazette_dated,SP_4d404807546cb3cb6a54
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_HACHICHA_SAMI,CO_INDUSTRIES_ALIMENTAIRES_RANDA,administrateur,corporate,probable,gazette_dated,SP_169043f9fcd635046401
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_KHOUAJA_MAHDI,CO_INDUSTRIES_ALIMENTAIRES_RANDA,administrateur,corporate,probable,gazette_dated,SP_3a62356e1d913374f4de
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_JEBALI_MOHAMED,CO_CONSEIL,gerant,corporate,possible,gazette_dated,SP_71693af9c5c8503f088e
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_BENMOUSA_ALI_BENBRAHIM,CO_CIVILE_UNION_FRANCO_ITALIENNE,dg,corporate,certain,gazette_dated,SP_f3a8cb8936339b7c3a8b
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_ERIC_MARCON,CO_GENERAL_BETON_TUNISIE,gerant,corporate,certain,gazette_dated,SP_677aa29cc407d8c9588a
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_EZIO_MIGLIORINI,CO_GENERAL_BETON_TUNISIE,unspecified,corporate,certain,gazette_dated,SP_a57455fc1ea3c71bac7f
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_TRIKI_KHALIL,CO_HOZONE_TRADING,gerant,corporate,certain,gazette_dated,SP_0c32cd16e04d9c0e2521
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_ZOUARI_KHALED,CO_SOGECOF_ZARZIS,gerant,corporate,certain,gazette_dated,SP_5b07d28dea832d9ecdaa
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_FETNASI_SAMI,CO_ZOUABI,gerant,corporate,certain,gazette_dated,SP_2a9e3c2415dec5f241cc
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_KILANI_WALID,CO_EWA_SECURITE,gerant,corporate,certain,gazette_dated,SP_63354f185e4e891e04b9
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_KILANI_HATEM,CO_PROSPERE_IMMOBILIERE,gerant,corporate,certain,gazette_dated,SP_9c39839f37112d9f900e
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_TLILI_LAKHDHAR,CO_INDUSTRIES_CHIMIQUES_FLUOR,president_ca,corporate,certain,gazette_dated,SP_4fe5c23e96373bddf6de
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_HERMASI_ALI_BENAMAR,CO_HERMESS_CARBONATE,pdg,corporate,certain,gazette_dated,SP_979b528031ff2f780fe6
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_SASI_MOHAMED_ALI,CO_ELECTRO_MAGIC,gerant,corporate,certain,gazette_dated,SP_c82fc0af641e1ae72a63
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_MARQUIER_MARTINE,CO_CONTROL_CONSULTING,gerant,corporate,certain,gazette_dated,SP_4fbf57e41beb9ec3a653
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_DENGUEZLI_HATEM,ORGMENTION_LAND'OR,administrateur,corporate,probable,gazette_dated,SP_08fdf1475fc1a7a2cde2
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_AYED_HICHEM,ORGMENTION_LAND'OR,administrateur,corporate,probable,gazette_dated,SP_cdbae9d9294e81ca5e31
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_CHOURIA_RIDHA,ORGMENTION_LAND'OR,administrateur,corporate,probable,gazette_dated,SP_6a32b6d5b7c70b92e758
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_HAMAMI_HAMOUDA,CO_SIRCAR_PLUS,gerant,corporate,certain,gazette_dated,SP_fd5364a9f59e4cb3172a
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_TAKTAK_AMINE,CO_TUNISIENNE_INDUSTRIES_ENERGETIQUES,gerant,corporate,certain,gazette_dated,SP_05f5b4ebe7f3b7e5a623
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_KAMOUN_FADHEL,CO_IDEBA_IMMOBILIERE,gerant,corporate,certain,gazette_dated,SP_91167866ab5250148d43
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_MZABI_KHALED,CO_DJO_WORLD_TRADING,gerant,corporate,certain,gazette_dated,SP_5c5e5c4b033624170464
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_GAMBINI_RENZO,CO_PROJECT_ITALIA,gerant,corporate,certain,gazette_dated,SP_f62ddd1271a4e9e32fb6
