entity_id,entity_type,alias_raw,matching_key
F0f18f83c85,firm,Tunisienne de Production Alimentaire,tunisienne de production alimentaire
F0f2ef93ed7,firm,1e Exposé sur l’activité de la Compagnie et des résultats,1e expose sur l activite de la compagnie et des resultats
F0f4d40886a,firm,permanent d’audit interne,permanent d audit interne
F0f7d261b0d,firm,Mosbah HELALI 2 000,mosbah helali 2 000
F0f81d2adcc,firm,ATTIJARI BANK,attijari bank
F0f81d2adcc,firm,Attijari Bank,attijari bank
F0f81d2adcc,firm,Attijari bank,attijari bank
F0fbc86aa12,firm,Head of MENA region,head of mena region
F0fc23da57e,firm,Monte dei Pashi,monte dei pashi
F0fe50fe39e,firm,Le,le
F0fe50fe39e,firm,➢ Le,le
F0fe55600d6,firm,ŒILLETS -INTER BANK- SERVICES LE GOLF DES,œillets inter bank services le golf des
F0feef7c6a6,firm,SPIDIT SICAV,spidit sicav
F1006810665,firm,La Société HIKMA PARTICIPATIONS,la hikma participations
F1006810665,firm,La Société HIKMA PARTICIPATIONS (*),la hikma participations
F102b942c30,firm,ELKHIR,elkhir
F1050cfe3ec,firm,Financière d’Investissement -SOFI SICAF,financiere d investissement sofi sicaf
F1057481ef3,firm,Commerce des accessoires en aluminium,commerce des accessoires en aluminium
F1061ab4ac6,firm,Arab Tunisian Bank M. Jamel JENANA,arab tunisian bank jamel jenana
F107f5b6fd4,firm,Consortium Des Immobilières Maghrébines,consortium des immobilieres maghrebines
F10994fa93a,firm,Mohamed MELLOUSSE* STB INVEST* LAFICO Tunisie* Monsieur Mohamed Hédi Ben Ayed* CONSORTIUM ARABE D'INVESTISSEMENT* STE SOGEF* Petits Porteurs* Mr Mohamed Habib Karaouli* Mr Anis FOURATI(**) Mr Salem BESSAOUD(**),mohamed mellousse stb invest lafico tunisie mohamed hedi ben ayed consortium arabe d investissement sogef petits porteurs mohamed habib karaouli anis fourati salem bessaoud
F109b283a9e,firm,Le sui dés missons d'audit réglementaire,le sui des missons d audit reglementaire
F10a51b9db3,firm,p a r I' a r t ic le,p a r i a r t ic le
F10b0380f11,firm,Rap,rap
F10baa60ff3,firm,Nationalité Tunisienne,nationalite tunisienne
F10d1321316,firm,HAYETT ASSURANCES,hayett assurances
F10d55c04d8,firm,l’AGO qui statuera sur les comptes de l’exercice 2023,l ago qui statuera sur les comptes de l exercice 2023
F1100ef92ed,firm,Automobile Investment Company,automobile investment
F1100ef92ed,firm,automobile investment company,automobile investment
F112e2788ae,firm,STE HOTEL YOUNES,hotel younes
F114ce9399e,firm,"d'Exploitation Agricole ""SODEXA"" - Administrateur à la Sté Huilerie d'Olives du Nord",d exploitation agricole sodexa administrateur a la huilerie d olives du nord
F11537310f2,firm,"Ordinaire. Ces Administrateurs étant rééligibles, et acceptant le renouvellement de leurs mandats, nous vous",ordinaire ces administrateurs etant reeligibles et acceptant le renouvellement de leurs mandats nous vous
F115cea8486,firm,"IMMOBILIERS ET INDUSTRIELS ""STPI""",immobiliers et industriels stpi
F116ca4e381,firm,Reprise 2013,reprise 2013
F116d5cbf98,firm,SOTUMAG,sotumag
F11857a0c96,firm,Gérant de la société DELLMANN,gerant de la dellmann
F11a53227ec,firm,Selmo Longor : Lo Générole d'Audit & Conseil,selmo longor lo generole d audit conseil
F11a5921ae1,firm,Les Minoteries des Centres et Sahel Réunies - MCSR,les minoteries des centres et sahel reunies mcsr
F11a5921ae1,firm,Les Minoteries des Centres et Sahel Réunies -MCSR,les minoteries des centres et sahel reunies mcsr
F11aedbc138,firm,AMORNSAIRI,amornsairi
F11b0f40450,firm,Société Tunisienne de Boissons,tunisienne de boissons
F11c48a0d6b,firm,ADWYA,adwya
F11c48a0d6b,firm,ADWYA S.A,adwya
F11c48a0d6b,firm,Adwya,adwya
F11cd8c4e36,firm,DGA de Financière Tunisienne S.A,dga de financiere tunisienne
F11d4241284,firm,(..) Coopté por le Conseil d'Administration réuni le,coopte por le conseil d administration reuni le
F11ef8f6ce8,firm,Ne peuvent être membres du conseil d'administration,ne peuvent etre membres du conseil d administration
F11fac0f2ae,firm,S.MONET TUNISIE,s monet tunisie
F11fb5902a0,firm,TUNISIE FACTORING,tunisie factoring
F11fb5902a0,firm,Tunisie Factoring,tunisie factoring
F120673f721,firm,Standard Sharing Software-3S,standard sharing software 3s
F120de8905d,firm,La rubrique «Autres dommages,la rubrique autres dommages
F121146a6b4,firm,SEFINA SICAF,sefina sicaf
F123e7c3ff6,firm,Général et demandant des éclaircissements sur les,general et demandant des eclaircissements sur les
F1245613231,firm,UNIVERS SICAV,univers sicav
F128347f153,firm,d’administrateur à compter du 14 novembre 2024,d administrateur a compter du 14 novembre 2024
F12a49744c4,firm,WINDY INVEST PART,windy invest part
F12df761034,firm,Vice Président Sté COMAR - PGI Holding (Président du Conseil d’Administration) - PARENIN,vice president comar pgi holding president du conseil d administration parenin
F12ec8f6e2e,firm,Au terme de l'exercice,au terme de l exercice
