entity_id,canonical_name,gender,basis,n_female_titles,n_male_titles,n_untitled_rows
Paef45bf2f8,CHABCHOUB Mohamed Amin,M,1 male honorific,0,1,1
Pb6d10a287d,CHEN WEI,M,3 male honorifics,0,3,0
Pc2915895d7,CHIBANII Anouar,M,1 male honorific,0,1,0
Pfa73f08b8d,Chedly 0UNIS,M,1 male honorific,0,1,0
Pbedf8b203f,Chedly BEN,M,1 male honorific,0,1,0
P45741f90dd,Chedly BEN AMMAR Membre Lui même 2006-2008 Tunis,M,1 male honorific,0,1,0
P7794b10c88,Chedly BEN AMMAR Membre Lui même 2009‐2011 Tunis,M,4 male honorifics,0,4,0
P2fbd18ad0b,Chedly Ben Ammar,M,2 male honorifics,0,2,0
P9b8974356f,Chedly OUNIS,M,1 male honorific,0,1,0
P26076155a8,Chekib NOIIIRA,M,1 male honorific,0,1,0
P1d286d6f3f,Chekib NOUIRA*,M,3 male honorifics,0,3,1
Pb1ffcc803b,Chekib NOtllRA,M,1 male honorific,0,1,0
Paba723d805,Chokri BEN AYED,M,10 male honorifics,0,10,1
P0f532a4aa4,Chokri CHROUDA,M,1 male honorific,0,1,0
P9c0401af43,Chokri MEZNI,M,3 male honorifics,0,3,0
P611b707a16,Christian POIRIER,M,1 male honorific,0,1,0
P947d981426,Christian Schrike(*),M,1 male honorific,0,1,0
Pe2435568b3,Dany MAKLOUF**,M,1 male honorific,0,1,0
P772cf82f46,David REY,M,1 male honorific,0,1,0
P2a13d1dbcf,Dawod EL GHOUL,M,2 male honorifics,0,2,0
P1b1bc595ac,Didier LALUET,M,1 male honorific,0,1,1
Peeec30a13c,Donrrniquc OG;lt,M,1 male honorific,0,1,0
P5c44924b7f,Driss DOGHRI,M,1 male honorific,0,1,0
P626684ea36,Elyes MNAKBI,M,1 male honorific,0,1,0
Pf40f62a1db,Elyès JOUINI,M,7 male honorifics,0,7,0
P8c8b31c28b,Eric BEDEZ,M,8 male honorifics,0,8,0
P294a7d5a70,Eric CHARPENTIER,M,3 male honorifics,0,3,0
P0718249ce7,Ettajouri FATNASSI,M,1 male honorific,0,1,0
Pdf44d863d0,Eymen ERRAIS,M,1 male honorific,0,1,0
Pda9e43e665,Ezzeddine CHERIF*,M,1 male honorific,0,1,0
P78897f72ed,Ezzedine KHOJA,M,3 male honorifics,0,3,0
Pe49bd069bd,FADHEL BEN OTHMAN,M,1 male honorific,0,1,0
Pd0d28f23fe,FAROUK BEY,M,4 male honorifics,0,4,0
P2aed855a9f,Fadhel ABDELKEFI,M,2 male honorifics,0,2,4
