entity_id,canonical_name,year,pc_state_ownership,pc_state_board,pc_officeholder,pc_public_bank,pc_political_figure,pc_officeholder_former,pc_public_bank_equity,max_state_stake_pct,pc_narrow,pc_broad,n_evidence,n_evidence_ocr,categories
F66810a4933,Ex-président de Conseil d’Administration de la BNA,2021,0,0,0,1,0,0,0,,0,1,1,0,public_bank_interlock
Fc8b316af1a,Exerci,2015,0,0,0,1,0,0,0,,0,1,1,0,public_bank_seat
F44ace27cfb,Expert International en inclusion financière aux agences des Nations,2021,0,0,0,1,0,0,0,,0,1,1,0,public_bank_interlock
F82d6024473,F.C.P - OPTIMA,2013,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
Fd7db41adf9,F.C.P.RIN ' TECH,2013,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
F006b8af0a7,F.I.G,2013,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
F843e6e7e87,GARDEN,2019,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
Fa95cbddbc3,"GOLF""",2019,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
F123e7c3ff6,Général et demandant des éclaircissements sur les,2015,0,0,0,1,0,0,0,,0,1,1,0,public_bank_seat
F99b2a3ef1f,Gérant de,2021,0,0,0,1,0,0,0,,0,1,1,0,public_bank_interlock
Fe191937d17,HELYA TOURS,2019,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
F936d337da6,HORCHANI FINANCE,2015,0,0,0,1,0,0,1,,0,1,2,0,public_bank_equity
Fa2ea85c867,HOTEL ITROPICA BEACH,2019,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
Fb460b84b2d,IBS,2013,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
F5445ee6f55,IG,2008,0,0,0,1,0,0,1,,0,1,4,0,public_bank_equity
F2de5ec6616,IMMOBILIERE MAE,2024,0,0,0,1,0,0,0,,0,1,1,0,public_bank_interlock
F2de5ec6616,IMMOBILIERE MAE,2026,0,0,0,1,0,0,0,,0,1,1,0,public_bank_interlock
Faaf3379906,INVEST DEVELOPPEMENT SICAR,2008,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
Faaf3379906,INVEST DEVELOPPEMENT SICAR,2009,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
F9f4ce57244,"Il émet, également, des avis et des",2015,0,0,0,1,0,0,0,,0,1,1,0,public_bank_seat
Ff098813509,KOWAIT INVESTMENT AUTHORITY,2008,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
Ff098813509,KOWAIT INVESTMENT AUTHORITY,2009,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
F16d4e9e475,KOWEIT INVESTMENT AUTORITY,2007,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
F054bd47d0c,Kuwaït Investment Authority,2015,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
Ff0ca4774c1,L'IMMOBILIERE DE L'AVENUE,2008,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
Ff0ca4774c1,L'IMMOBILIERE DE L'AVENUE,2009,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
Ff0ca4774c1,L'IMMOBILIERE DE L'AVENUE,2018,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
Fdb1b39e5c5,"LA PROMOTION DE L'INVESTISSEMENT TQUE ""PIT"" (H.MAJESTIC)",2015,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
