vertex.id,node_id,label,node_type
11899,CO_TOP_BETON,TOP BETON,ORG
11900,PERSON_HAMAMI_SAMIRA,SAMIRA HAMMAMI,PERSON
11901,CO_REAL_CAFE,REAL CAFE,ORG
11902,CO_ETTAOUFIK,ETTAOUFIK,ORG
11903,PERSON_CHERIF_KAMEL,KAMEL CHERIF,PERSON
11904,CO_FRANCO_TUNISIENNE_TRANSPORT_LOGISTIQUE,FRANCO TUNISIENNE DE TRANSPORT ET DE LOGISTIQUE FTTL,ORG
11905,ORGMENTION_L'immobilière de l'Avenue des Etats Unis d'Amérique,L'immobilière de l'Avenue des Etats Unis d'Amérique,ORG
11906,PERSON_DENEUX_PATRICK,PATRICK DENEUX,PERSON
11907,PERSON_ACHOUR_MAHMOUD,MAHMOUD ACHOUR,PERSON
11908,PERSON_GMATI_TEJEDINE,TEJEDDINE GMATI,PERSON
11909,PERSON_ACHOUR_OLFA,OLFA ACHOUR,PERSON
11910,PERSON_SOUISI_ABDERAZEK,ABDERRAZZEK SOUISSI,PERSON
11911,PERSON_BENROMDHANE_MONTASAR,MONTASSAR BEN-ROMDHANE,PERSON
11912,PERSON_SELAMI_MAHER,MAHER SELLAMI,PERSON
11913,CO_RAMOUCH,SOCIETE RAMOUCH,ORG
11914,ORGMENTION_Société ROMULUS VOYAGE S.A,Société ROMULUS VOYAGE S.A,ORG
11915,CO_PIECES_INDUSTRIELLES_MATERIELS_AGRICOLES,PIECES INDUSTRIELLES ET MATERIELS AGRICOLES PIMA,ORG
11916,PERSON_FRIAA_CHAOUKI,CHAOUKI FRIAA,PERSON
11917,CO_DEVELOPPEMENT_D_EXPLOITATION_PARC_D_ACTIVITES_ECONOMIQUES_ZA,SOCIETE DE DEVELOPPEMENT ET D’EXPLOITATION DU PARC D’ACTIVITES ECONOMIQUES DE ZARZIS PAEZ,ORG
11918,CO_METROPOLITAN,METROPOLITAN,ORG
11919,PERSON_MOHSEN_CHEKIB,CHEKIB MOHSEN,PERSON
11920,CO_AUTOMOTIVE_RETAIL_TUNISLAN_EXCELLENCE,AUTOMOTIVE RETAIL TUNISLAN EXCELLENCE ARTE,ORG
11921,ORGMENTION_BRANDIS S,BRANDIS S,ORG
11922,PERSON_ZOUARI_MONJI,MONJI ZOUARI,PERSON
11923,CO_ZOUARI_MEDICAL_CENTER,ZOUARI MEDICAL CENTER,ORG
11924,PERSON_STARKE_MARC,MARC STARKE,PERSON
11925,CO_SHEMS_RENT_CAR,SHEMS RENT CAR,ORG
11926,CO_MANAR_COMMERCE,SOCIETE MANAR COMMERCE,ORG
11927,CO_BBJ_HOLDING,BBJ HOLDING,ORG
11928,PERSON_BENJEMAA_FERID,FERID BENJEMAA,PERSON
11929,CO_AL_MAKHBAZA,AL MAKHBAZA,ORG
11930,PERSON_DHOUIB_AHMED,AHMED DHOUIB,PERSON
11931,PERSON_HAMAMI_CHAMSEDINE,CHAMSEDDINE HAMMAMI,PERSON
11932,CO_ELECTRONICA_IES,ELECTRONICA IES,ORG
11933,CO_PROMOTION_IMMOBILIERE_ELMAKAREM,SOCIETE DE PROMOTION IMMOBILIERE ELMAKAREM,ORG
11934,CO_AYA_DISTRIBUTION,AYA DISTRIBUTION,ORG
11935,PERSON_ABDELI_OUADAH,OUADAH ABDELI,PERSON
11936,CO_DSF_FRANCE,DSF FRANCE,ORG
11937,CO_BOUCHRA_HOLDING,BOUCHRA HOLDING,ORG
11938,CO_MOULIN_HOLDING,MOULIN HOLDING,ORG
11939,CO_AZZA,SOCIETE AZZA,ORG
11940,PERSON_MOKNI_HICHEM,HICHEM MOKNI,PERSON
11941,CO_STEP,STEP,ORG
11942,CO_UNIDS_NEGOCE,SOCIETE UNIDS NEGOCE,ORG
