id_type,value_normalised,rne_name_fr,rne_name_ar,rne_category,rne_year_creation,seed_org_id,seed_org_label,match_basis,match_score,is_identity,n_jort_orgs
matricule_fiscal,1580750S,SOCIETE AXON INFO,SOCIETE AXON INFO,SOCIETE,2018,,,generic_fuzzy,0.7,0,1
matricule_fiscal,1580757A,STE NEOPOLE,شركة نيوبول,SOCIETE,2018,,,none,0.0,0,1
matricule_fiscal,1580758B,,STE DELTA GLOBAL ENGINEERING,SOCIETE,2018,,,no_french_name,,0,1
matricule_fiscal,1580759C,,تونيسيا لايفت,SOCIETE,2018,,,no_french_name,,0,1
matricule_fiscal,1580763Y,STE GLOBAL SECURITY SHIPPING,قلوبال سكيريتي شيبينق,SOCIETE,2018,,,generic_fuzzy,0.7895,0,1
matricule_fiscal,1580764Z,MERY HEALTHCARE SARL,ماري هيلثكار,SOCIETE,2018,,,discriminating_fuzzy,0.8,0,1
matricule_fiscal,1580765A,STE TRAVAUX PUBLIC HORIZON,شركة الاشغال العامة الافق,SOCIETE,2018,,,generic_fuzzy,0.8293,0,1
matricule_fiscal,1580767C,SOCIETE L'ART D'OR,شركة فن الذهب,SOCIETE,2018,,,generic_fuzzy,0.7368,0,1
matricule_fiscal,1580769E,SOCIETE YAHYA DES PRODUITS AGRICOLES,شركة يحي للمعدات الفلاحية   ش ش م م,SOCIETE,2018,,,generic_fuzzy,0.9362,0,1
matricule_fiscal,1580770X,STE NOVASCAN,شركة نوفاسكان,SOCIETE,2018,,,none,0.0,0,1
matricule_fiscal,1580773A,,STE ADAM IT,SOCIETE,2018,,,no_french_name,,0,1
matricule_fiscal,1580777E,STE EL KASSER DE TAILLE ET FACONNAGE DE MARBRE,شركة الكاسر لقص و صقل الرخام,SOCIETE,2018,,,generic_fuzzy,0.72,0,1
matricule_fiscal,1580787G,,STE BSGW,SOCIETE,2018,,,no_french_name,,0,1
matricule_fiscal,1580796H,MEDITERRANEAN TRENDS OILIFIED SUPPLIES AND SERVICES,اتجاهات البحر المتوسط لخدمات حقول النفط,SOCIETE,2018,,,generic_fuzzy,0.8421,0,1
matricule_fiscal,1580798K,STE EL AMEN DES MATERIAUX DE CONSTRUCTION,شركة الأمان لمواد البناء,SOCIETE,2018,CO_EL_AMEN_MATERIAUX_CONSTRUCTION,EL AMEN DE MATERIAUX DE CONSTRUCTION,exact,1.0,1,1
matricule_fiscal,1580804P,STE ECOPACK DISTRIBUTION,شركة ايكوباك للتوزيع,SOCIETE,2018,,,generic_fuzzy,0.9189,0,1
matricule_fiscal,1580810M,STE 4 YOU,4YOU,SOCIETE,2018,,,none,0.0,0,1
matricule_fiscal,1580820P,STE PARFOIS MANAR CITY,برافوا منار سيتي,SOCIETE,2018,,,discriminating_fuzzy,0.7692,0,1
matricule_fiscal,1580824T,,أقرينوفا الياسمين,SOCIETE,2018,,,no_french_name,,0,1
