suspect_id,kind,left_id,left_label,right_id,right_label,basis,detail,would_connect_persons
SH_0000104,split_organisation,CO_AMC_ERNST_YOUNG,AMC ERNST ET YOUNG,CO_LEONI,LEONI,shared_matricule_fiscal,matricule_fiscal=632943F on both nodes,4
SH_0000105,split_organisation,CO_AMC_ERNST_YOUNG,AMC ERNST ET YOUNG,CO_VALEO,VALEO,shared_matricule_fiscal,matricule_fiscal=632943F on both nodes,4
SH_0000106,split_organisation,CO_LEONI,LEONI,CO_VALEO,VALEO,shared_matricule_fiscal,matricule_fiscal=632943F on both nodes,1
SH_0000107,split_organisation,CO_AMC_ERNST_YOUNG,AMC ERNST ET YOUNG,CO_LUBRIFIANTS_TUNISIE,LUBRIFIANTS DE TUNISIE,shared_registre_commerce,registre_commerce=B178441996 on both nodes,0
SH_0000108,split_organisation,CO_AMC_ERNST_YOUNG,AMC ERNST ET YOUNG,CO_LEONI,LEONI,shared_registre_commerce,registre_commerce=B170701998 on both nodes,4
SH_0000109,split_organisation,CO_AMC_ERNST_YOUNG,AMC ERNST ET YOUNG,CO_VALEO,VALEO,shared_registre_commerce,registre_commerce=B170701998 on both nodes,4
SH_0000110,split_organisation,CO_AMC_ERNST_YOUNG,AMC ERNST ET YOUNG,ORGE_a0c3df0ce7f751d40122,ORGE_a0c3df0ce7f751d40122,shared_registre_commerce,registre_commerce=B170701998 on both nodes,0
SH_0000111,split_organisation,CO_LEONI,LEONI,CO_VALEO,VALEO,shared_registre_commerce,registre_commerce=B170701998 on both nodes,1
SH_0000112,split_organisation,CO_LEONI,LEONI,ORGE_a0c3df0ce7f751d40122,ORGE_a0c3df0ce7f751d40122,shared_registre_commerce,registre_commerce=B170701998 on both nodes,0
SH_0000113,split_organisation,CO_VALEO,VALEO,ORGE_a0c3df0ce7f751d40122,ORGE_a0c3df0ce7f751d40122,shared_registre_commerce,registre_commerce=B170701998 on both nodes,0
SH_0000114,split_organisation,CO_AMC_ERNST_YOUNG,AMC ERNST ET YOUNG,CO_LEONI_WIRING_SYSTEMS_MATEUR_NORD,LEONI WIRING SYSTEMS MATEUR NORD,shared_registre_commerce,registre_commerce=B170641996 on both nodes,2
SH_0000115,split_organisation,CO_AMEL,SOCIETE AMEL,ORGE_6fc9377784714e5068fa,ORGE_6fc9377784714e5068fa,shared_registre_commerce,registre_commerce=B111031997 on both nodes,0
SH_0000116,split_organisation,CO_AMEL,SOCIETE AMEL,ORGE_7417915ce9293fb97a4e,ORGE_7417915ce9293fb97a4e,shared_registre_commerce,registre_commerce=B111031997 on both nodes,0
SH_0000117,split_organisation,ORGE_6fc9377784714e5068fa,ORGE_6fc9377784714e5068fa,ORGE_7417915ce9293fb97a4e,ORGE_7417915ce9293fb97a4e,shared_registre_commerce,registre_commerce=B111031997 on both nodes,0
SH_0000118,split_organisation,CO_AMEN_BANK,AMEN BANK,CO_COMMERCIALISATION_TEXTILES_SOCOTEX,LA SOCIETE DE COMMERCIALISATION DES TEXTILES SOCOTEX,shared_registre_commerce,registre_commerce=B146371996 on both nodes,0
SH_0000119,split_organisation,CO_AMEN_BANK,AMEN BANK,CO_COMMERCIALISATION_TEXTILE_SOCOTEX,SOCIETE DE COMMERCIALISATION DU TEXTILE SOCOTEX,shared_registre_commerce,registre_commerce=B146371996 on both nodes,0
