period,tail,head,role_canonical,certainty,link_status,dissolution_observed
2008,1424,4062,gerant,certain,resolved,0
2008,1431,4233,unspecified,certain,resolved,0
2008,1432,3035,president_ca,probable,resolved,0
2008,1434,2889,pdg,probable,resolved,0
2008,1434,3021,pdg|unspecified,certain,ambiguous,0
2008,1435,5483,gerant,certain,ambiguous,0
2008,1437,5474,administrateur,certain,ambiguous,0
2008,1441,4840,pdg,certain,resolved,0
2008,1444,2672,gerant,certain,ambiguous,1
2008,1444,3592,gerant,certain,ambiguous,1
2008,1445,3571,pdg,certain,resolved,0
2008,1447,4344,administrateur|pdg,certain,resolved,0
2008,1448,4344,administrateur,probable,resolved,0
2008,1449,4344,administrateur,certain,resolved,0
2008,1452,2856,unspecified,probable,resolved,1
2008,1453,3634,cogerant,certain,resolved,0
2008,1459,4076,gerant,certain,resolved,0
2008,1462,4046,pdg,certain,ambiguous,0
2008,1464,4684,administrateur,probable,resolved,0
2008,1467,4323,dg,probable,resolved,0
2008,1467,5429,pdg,certain,ambiguous,0
2008,1468,5429,administrateur,certain,ambiguous,0
2008,1469,4548,dg,probable,ambiguous,0
2008,1476,2984,commissaire_aux_comptes,probable,resolved,0
2008,1477,5342,gerant,certain,resolved,0
2008,1478,4490,gerant,certain,resolved,0
2008,1483,3053,gerant,certain,resolved,0
2008,1486,2984,commissaire_aux_comptes,probable,resolved,0
2008,1487,2984,commissaire_aux_comptes,probable,resolved,0
2008,1487,3283,gerant,probable,resolved,0
2008,1490,2777,gerant,certain,resolved,0
2008,1490,5060,gerant,certain,resolved,0
2008,1491,3374,gerant,probable,ambiguous,1
2008,1497,5321,pdg,certain,resolved,0
2008,1499,4181,unspecified,probable,resolved,1
2008,1500,4337,gerant,certain,resolved,0
2008,1500,5073,gerant,certain,resolved,0
2008,1501,5381,gerant,certain,ambiguous,0
2008,1502,4053,gerant,certain,resolved,1
2008,1508,5373,gerant,probable,ambiguous,0
2008,1509,3862,cogerant,probable,resolved,1
2008,1510,4647,gerant,certain,resolved,0
2008,1512,4908,gerant,certain,resolved,0
2008,1520,5375,gerant,certain,resolved,0
2008,1522,2984,commissaire_aux_comptes,probable,ambiguous,0
2008,1525,4762,dg,probable,resolved,1
2008,1533,4211,gerant,certain,ambiguous,0
2008,1542,5396,unspecified,certain,resolved,0
2008,1545,2991,administrateur,certain,ambiguous,0
2008,1547,3961,dg,probable,ambiguous,0
2008,1549,2625,gerant,probable,ambiguous,0
2008,1553,3197,gerant,certain,ambiguous,1
2008,1554,2954,dg,certain,resolved,0
2008,1567,3243,gerant,certain,resolved,0
2008,1575,5078,gerant,probable,resolved,1
2008,1586,4558,gerant,certain,resolved,1
2008,1586,4760,pdg|unspecified,certain,resolved,0
2008,1587,3841,administrateur|pdg,certain,resolved,0
2008,1589,3841,administrateur,certain,resolved,0
2008,1591,2707,gerant,certain,resolved,0
2008,1612,5227,dg,certain,resolved,0
2008,1613,3901,cogerant,certain,resolved,0
2008,1616,4276,cogerant,certain,resolved,1
2008,1616,4277,gerant,certain,resolved,0
2008,1618,2970,unspecified,probable,resolved,1
2008,1622,3195,gerant,certain,ambiguous,1
2008,1623,4276,cogerant,certain,resolved,1
2008,1634,2861,gerant,certain,ambiguous,1
2008,1635,4104,gerant,certain,resolved,0
2008,1636,2856,administrateur,certain,ambiguous,0
2008,1638,3526,gerant,certain,resolved,0
2008,1641,5061,pdg,certain,resolved,0
2008,1645,4535,unspecified,certain,ambiguous,0
2008,1649,2665,dg,certain,resolved,0
2008,1649,3947,dg,certain,resolved,0
2008,1651,4603,pdg,probable,resolved,0
2008,1652,2816,dg,certain,ambiguous,0
2008,1654,3380,gerant,probable,resolved,1
2008,1665,3272,gerant,certain,ambiguous,1
2008,1666,2981,gerant,certain,resolved,0
2008,1670,3915,cogerant,certain,resolved,0
2008,1672,3235,dg,certain,ambiguous,0
2008,1685,4148,gerant,certain,ambiguous,1
2008,1686,3535,pdg,certain,resolved,0
2008,1691,4122,gerant,certain,resolved,0
2008,1694,4170,gerant,certain,resolved,0
2008,1694,5267,gerant,certain,ambiguous,1
2008,1699,4170,cogerant,certain,resolved,0
2008,1700,4290,pdg,certain,ambiguous,0
2008,1702,4032,gerant,certain,resolved,0
2008,1713,3177,gerant,probable,ambiguous,1
2008,1716,2783,gerant,certain,resolved,0
2008,1719,3627,administrateur,certain,resolved,0
2008,1720,3973,gerant,probable,resolved,0
2008,1721,3900,pdg,possible,resolved,1
2008,1722,2843,gerant,certain,resolved,0
2008,1724,3391,pdg,certain,resolved,0
2008,1726,3542,gerant,certain,ambiguous,0
2008,1727,4973,president_ca,certain,resolved,0
2008,1729,5339,gerant,certain,resolved,0
2008,1731,3236,administrateur,probable,resolved,0
2008,1732,4403,administrateur,probable,resolved,0
2008,1733,4014,gerant,certain,ambiguous,0
2008,1736,4205,pdg,certain,resolved,0
2008,1736,4208,president_ca,certain,resolved,0
2008,1736,5175,president_ca,certain,resolved,0
2008,1737,5248,gerant,probable,resolved,1
2008,1741,4708,gerant,certain,resolved,0
2008,1741,5250,gerant,certain,resolved,0
2008,1742,3869,administrateur,certain,resolved,0
2008,1742,5202,pdg,certain,resolved,0
2008,1744,3822,president_ca,probable,resolved,0
2008,1744,3940,administrateur,certain,resolved,0
2008,1744,4210,pdg,certain,ambiguous,0
2008,1744,5168,president_ca,certain,ambiguous,1
2008,1745,4403,administrateur|pdg,probable,resolved,0
2008,1751,4576,gerant,certain,resolved,1
2008,1752,3265,gerant,certain,resolved,0
2008,1754,4610,gerant,certain,resolved,0
2008,1758,4403,administrateur,probable,resolved,0
2008,1765,4674,gerant,certain,resolved,0
2008,1767,4476,association_president|unspecified,certain,ambiguous,0
2008,1767,4765,gerant,probable,resolved,0
2008,1768,4774,gerant,certain,resolved,1
2008,1773,5442,dg,probable,ambiguous,0
2008,1774,5467,cogerant|dg,certain,ambiguous,0
2008,1778,4777,pdg,certain,resolved,0
2008,1778,4778,pdg,certain,ambiguous,0
2008,1779,4299,gerant,certain,resolved,0
2008,1780,3124,gerant,certain,ambiguous,1
2008,1788,2913,gerant,certain,resolved,0
2008,1791,3229,gerant,certain,resolved,0
2008,1792,4427,representant,certain,ambiguous,0
2008,1808,3625,gerant,certain,ambiguous,1
2008,1809,3313,dg|president_ca,certain,resolved,0
2008,1810,3313,dga,certain,resolved,0
2008,1814,3685,cogerant,certain,resolved,0
2008,1815,3685,cogerant,certain,resolved,0
