page_uid,pdf_page,folio,image_sha256,text_sha256,n_chars,arabic_char_frac,ocr_engine,ocr_version,ocr_config,status,needs_review
aalam:p083,83,81,3acbecdd131d7ed2efc5db74e522451437ea99be8046b3f3b5f918aad23198b8,d4b064cced6c8dd26ad54604d140d13c14a4d496637df361c943df2794766d4b,1379,0.9833,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p084,84,82,4ecb1a71b56506a149feb9fc9b348643050b4aae8e5e338efda9fd8ed6d29423,f7e135c9fd17cd7bf5bca18649e7a4ee60c4f631e0809033ca6c3af4bee189f1,1359,0.9749,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p085,85,83,0605f03c09f4224c7dc72b40bea12da14aa746b76d779fb3990bdaf6d426f70f,a5ec8a32f73ac00c7730dd4970587ba8d8140645cd7cec474bbd92d8b63c84ac,1556,0.9784,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p086,86,84,628a48ad313e569c686a8f649dcdf686d9ef08ed709c104a616e131d36256700,2506629ce58b1f481840d49c71ad86ca841b59b4fc70e6d3197f8a7440dd6d12,1589,0.9795,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p087,87,85,506dab7230bd2f9e2f07331bb4ee91dba7febf007c5a8102385b0486f292255a,71750d32325820e42717c723dd1ca9f4da6a2c813c757af6d7d889ae7dc3ed91,1589,0.9801,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p088,88,86,b47b748f1aae4f9b652640910a72632240417829fb016cae6cea3c66f1fdd6fd,e3560a34bc8d23bfd133ce1e4f77bdeef8b63315ba75b57e647fef1a5e4e4f1b,1052,0.9783,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p089,89,87,fec3a1604a1cf88706cd2849a9fd2b333020a4d258a41126b6e712fe43eac1d1,fe8fe8a3f0c3f7687e4e18e6439f9a8bbcbcd7614532513e04cdafdd6ed749de,830,0.959,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p090,90,88,769d997955127277dc98caed0f4881aab90c66588ce4e08e041565e1a2fcd11e,c6e64f358656da982954230140e5dbb2fce02c7ac75da6f9cfdde0e462770557,1410,0.9708,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p091,91,89,0eeb9df4ee524a7c540c0cd07f1cddc27ed529e373277f75a2566799a0599d3d,54bc206f0df0e3a3594733c07c34c6aad8b3ed960fa72ac9c106ea6faaeb0123,1424,0.9538,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p092,92,90,644dad26db3e91f368151a870f5d53735b0a81f28e42bf5635202deed3a12d3f,7262276af86c2b1ed1911cf42f450a458f8b0a3c786b682ec0da9d674e70017b,1306,0.9397,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p093,93,91,29bed7b1f550dafeb3ab5c0add9a601b1135a7432778d9740342e7a4ec3f9b93,aaf618e97e93a525ba9a5049126f9500b5910346ee5ac37f6e7712912444ea1a,1469,0.9737,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p094,94,92,0b503b1cc46fe3096999c9b02613496d965380380a20e42264fcc7b787c44e72,0566254f15d4586d3ceb5952d31d4b88b2c1121cfd6e2d9efc567ce3666cb3f5,1359,0.9642,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p095,95,93,ca910ee995d95e2f5201ce135219609c017286b2c3f5645bebc57c606ab56cd3,e39a44104897463a95ddf1d6e057df4134adda259143b3a89912abac73623fc0,1373,0.976,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p096,96,94,36d9dce64069a22f5f60d446cbf93a777919c4a566f57118e358ccb1cd80cd7f,163bf98d78db9897422e62eaae96704c98e17104eecf1c1a2a01ae6f6420c9dc,1515,0.9736,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
