rank,node_id,label,node_class,draw_class,betweenness,coreness,x,y
154,CO_AGENCE_CONTROLE_TECHNIQUE_INTERNATIONALE,AGENCE DE CONTROLE TECHNIQUE INTERNATIONALE,company,private,1533650.5,3,-0.2471,0.2622
155,PERSON_CHARFI_MOHAMED,MOHAMED CHARFI,individual,person,1528498.0,2,-0.2609,0.4719
156,CO_DIVA_SICAR,DIVA SICAR,company,private,1526787.5,4,-0.3797,-0.1086
157,PERSON_DRIS_MHAMED,MHAMMED DRISS,individual,person,1517518.3,6,-0.0831,0.2701
158,PERSON_BENAYED_MALEK,MALEK BEN-AYED,individual,person,1514939.2,5,0.1417,-0.4886
159,ORGE_4567b7ef3861b8250bd2,MINISTERE DES AFFAIRES CULTURELLES,state body,state,1510672.0,3,-0.2935,0.3842
160,PERSON_MEDEB_RADHI,RADHI MEDDEB,individual,person,1482594.7,4,0.0106,-0.2581
161,CO_FINANCIERE_WIDED_SICAF,FINANCIERE WIDED SICAF,company,private,1481519.2,4,0.1164,0.3533
162,PERSON_MHIRI_SAMI,SAMI MHIRI,individual,person,1475886.3,4,-0.7691,0.0584
163,PERSON_KAMOUN_HABIB,HABIB KAMMOUN,individual,person,1472145.4,4,0.5330,0.1385
164,PERSON_DOGHRI_HASINE,HASSINE DOGHRI,individual,person,1468317.5,5,0.8686,0.0037
165,PERSON_GHANOUCHI_MOHAMED,MOHAMED GHANNOUCHI,individual,person,1467496.4,3,0.4173,0.3736
166,PERSON_ABDELKEFI_AHMED,AHMED ABDELKEFI,individual,person,1466171.6,6,0.4150,-0.3202
167,GOV_OFFICE_NATIONAL_L_HUILE,OFFICE NATIONAL DE L’HUILE,state body,state,1465465.9,3,-0.3145,-0.0186
168,PERSON_ELOUMI_YADH,YADH ELLOUMI,individual,person,1461586.4,4,-0.3843,0.8436
169,PERSON_HORCHANI_RACHED,RACHED HORCHANI,individual,person,1457883.8,5,-0.0916,-0.5415
170,CO_TPAP,TPAP,company,private,1435349.4,5,0.4723,-0.3548
171,PERSON_HAMROUNI_LOTFI,LOTFI HAMROUNI,individual,person,1433014.0,4,0.1804,0.1031
172,CO_MODERN_LEASING,MODERN LEASING,company,private,1429643.4,5,-0.3763,-0.4150
173,PERSON_JAIDANE_RIADH,RIADH JAIDANE,individual,person,1429423.2,4,0.2484,-0.5942
174,CO_MODERNE_CERAMIQUE_SOMOCER,SOCIETE MODERNE DE CERAMIQUE SOMOCER,company,private,1423986.3,5,-0.0946,-0.6448
175,ORGE_f6baf5e8a9a5609a8b50,Société A,company,private,1418103.7,3,0.2455,-0.8041
176,BLOC_BLOC_COALITION_AL_KARAMA,BLOC COALITION AL-KARAMA,party / parliamentary bloc,state,1417813.2,2,-0.7077,-0.2497
177,CO_TUNISIENNE_FILTRES_MISFAT,SOCIETE TUNISIENNE DES FILTRES MISFAT,company,private,1413072.2,4,-0.3438,-0.6838
178,PERSON_AIDI_SAID,SAID AIDI,individual,person,1406054.2,4,0.2323,0.1391
179,CO_ARAB_TUNISIAN_BANK,ARAB TUNISIAN BANK ATB,company,private,1392060.4,3,0.3704,-0.6280
180,BLOC_BLOC_REFORME,BLOC DE LA REFORME,party / parliamentary bloc,state,1391220.8,3,-0.2470,0.8768
181,PERSON_BAYAHI_TAHER,TAHER BAYAHI,individual,person,1378622.3,5,0.1384,-0.5531
182,CO_SANIMED,SANIMED,company,private,1377887.6,5,0.0811,-0.1892
183,CO_BH_ASSURANCE,BH ASSURANCE,company,private,1365861.6,5,-0.2484,-0.5292
184,PERSON_SELAMI_AHMED,AHMED SELLAMI,individual,person,1353964.4,3,-0.4613,0.3603
185,CO_INDUSTRIELLE_CONSERVES_ALIMENTAIRES_MEDJEZ_EL_BAB_SICAM,SOCIETE INDUSTRIELLE DES CONSERVES ALIMENTAIRES DE MEDJEZ EL-BAB SICAM,company,private,1353770.3,5,0.0449,-0.4332
186,CO_SERVICOM,SERVICOM,company,private,1352066.3,3,0.4840,-0.4929
187,CO_BRIQUETERIE_BIR_MCHERGA,SOCIETE BRIQUETERIE BIR MCHERGA,company,private,1348686.0,5,0.3281,-0.4119
188,PERSON_NOUIRA_CHEKIB,CHEKIB NOUIRA,individual,person,1347190.3,3,-0.4133,0.0646
189,CO_TUNISIE_LEASING_FACTORING,TUNISIE LEASING ET FACTORING,company,private,1345884.8,5,0.2048,-0.5515
190,PERSON_DRIRA_MOHAMED,MOHAMED DRIRA,individual,person,1345063.1,3,-0.6791,0.1586
191,CO_EN_NASR_TEBOULBA,EN NASR TEBOULBA,company,private,1344080.2,2,-0.5166,0.5242
